×éºÏID,¸÷Ä¿±ê²ÄÁÏ¸ùÊı,¸÷Ä¿±ê²ÄÁÏË³Ğò,ÇĞ¸î×é×°³¤¶È
14,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
15,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
16,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
17,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
18,"5310: 2, 4340: 5, 3110: 5","[5310, 4340, 4340, 3110, 3110, 4340, 3110, 3110, 4340, 4340, 3110, 5310]","[[np.int64(5310), np.int64(4340), np.int64(2350)], [np.int64(1990), np.int64(3110), np.int64(3110), np.int64(3790)], [np.int64(550), np.int64(3110), np.int64(3110), np.int64(4340), np.int64(890)], [np.int64(3450), np.int64(3110), np.int64(5310), np.int64(130)]]"
19,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
20,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
21,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
22,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
23,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
24,"4340: 9, 5310: 1, 3110: 5","[4340, 5310, 4340, 4340, 4340, 4340, 3110, 3110, 4340, 3110, 3110, 4340, 4340, 3110, 4340]","[[np.int64(4340), np.int64(5310), np.int64(2350)], [np.int64(1990), np.int64(4340), np.int64(4340), np.int64(1330)], [np.int64(3010), np.int64(3110), np.int64(3110), np.int64(2770)], [np.int64(1570), np.int64(3110), np.int64(3110), np.int64(70), np.int64(4140)], [200, np.int64(4340), np.int64(3110), np.int64(4340), np.int64(10)]]"
25,"5310: 1, 3110: 6","[5310, 3110, 3110, 3110, 3110, 3110, 3110]","[[np.int64(5310), np.int64(3110), np.int64(3110), np.int64(470)], [np.int64(2640), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(30)]]"
26,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
27,"4340: 9, 3110: 5, 5310: 1","[4340, 3110, 4340, 4340, 3110, 3110, 5310, 4340, 4340, 4340, 4340, 3110, 3110, 4340, 4340]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(3110), np.int64(3110), np.int64(1650)], [np.int64(3660), np.int64(4340), np.int64(4000)], [np.int64(340), np.int64(4340), np.int64(4340), np.int64(70), np.int64(2910)], [200, np.int64(3110), np.int64(4340), np.int64(4340), np.int64(10)]]"
28,"4340: 9, 5310: 1, 3110: 5","[4340, 5310, 4340, 4340, 4340, 4340, 3110, 3110, 4340, 3110, 3110, 4340, 4340, 3110, 4340]","[[np.int64(4340), np.int64(5310), np.int64(2350)], [np.int64(1990), np.int64(4340), np.int64(4340), np.int64(1330)], [np.int64(3010), np.int64(3110), np.int64(3110), np.int64(2770)], [np.int64(1570), np.int64(3110), np.int64(3110), np.int64(70), np.int64(4140)], [200, np.int64(4340), np.int64(3110), np.int64(4340), np.int64(10)]]"
29,"3110: 4, 4340: 10, 5310: 3","[3110, 4340, 5310, 4340, 3110, 5310, 4340, 3110, 3110, 4340, 4340, 4340, 4340, 4340, 5310, 4340, 4340]","[[np.int64(3110), np.int64(4340), np.int64(4550)], [np.int64(760), np.int64(4340), np.int64(3110), np.int64(3790)], [np.int64(1520), np.int64(4340), np.int64(3110), np.int64(120), np.int64(2910)], [200, np.int64(4340), np.int64(4340), np.int64(3120)], [np.int64(1220), np.int64(4340), np.int64(4340), np.int64(2100)], [np.int64(3210), np.int64(4340), np.int64(4340), np.int64(110)]]"
30,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
31,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
32,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
33,"5310: 1, 4340: 9, 3110: 5","[5310, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 4340, 4340, 4340, 4340]","[[np.int64(5310), np.int64(4340), np.int64(2350)], [np.int64(1990), np.int64(4340), np.int64(4340), np.int64(1330)], [np.int64(1780), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(890)], [np.int64(2220), np.int64(4340), np.int64(4340), np.int64(1100)], [np.int64(3240), np.int64(4340), np.int64(4340), np.int64(80)]]"
34,"3110: 5, 4340: 9, 5310: 1","[3110, 4340, 4340, 4340, 3110, 4340, 3110, 4340, 3110, 4340, 5310, 4340, 3110, 4340, 4340]","[[np.int64(3110), np.int64(4340), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(3110), np.int64(4340), np.int64(420)], [np.int64(2690), np.int64(4340), np.int64(3110), np.int64(1860)], [np.int64(2480), np.int64(5310), np.int64(70), np.int64(4140)], [200, np.int64(3110), np.int64(4340), np.int64(4340), np.int64(10)]]"
35,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
36,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
37,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
38,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
39,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
40,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
41,"4340: 9, 3110: 5, 5310: 1","[4340, 3110, 4340, 4340, 3110, 3110, 5310, 4340, 4340, 4340, 4340, 3110, 3110, 4340, 4340]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(3110), np.int64(3110), np.int64(1650)], [np.int64(3660), np.int64(4340), np.int64(4000)], [np.int64(340), np.int64(4340), np.int64(4340), np.int64(70), np.int64(2910)], [200, np.int64(3110), np.int64(4340), np.int64(4340), np.int64(10)]]"
42,"4340: 4, 3110: 3, 5310: 4","[4340, 3110, 5310, 3110, 4340, 3110, 5310, 5310, 5310, 4340, 4340]","[[np.int64(4340), np.int64(3110), np.int64(4550)], [np.int64(760), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(680)], [np.int64(4630), np.int64(5310), np.int64(2060)], [np.int64(3250), np.int64(4340), np.int64(4340), np.int64(70)]]"
43,"4340: 9, 5310: 1, 3110: 5","[4340, 5310, 4340, 4340, 4340, 4340, 3110, 3110, 4340, 3110, 3110, 4340, 4340, 3110, 4340]","[[np.int64(4340), np.int64(5310), np.int64(2350)], [np.int64(1990), np.int64(4340), np.int64(4340), np.int64(1330)], [np.int64(3010), np.int64(3110), np.int64(3110), np.int64(2770)], [np.int64(1570), np.int64(3110), np.int64(3110), np.int64(70), np.int64(4140)], [200, np.int64(4340), np.int64(3110), np.int64(4340), np.int64(10)]]"
44,"5310: 3, 3110: 5, 4340: 1","[5310, 5310, 3110, 4340, 5310, 3110, 3110, 3110, 3110]","[[np.int64(5310), np.int64(5310), np.int64(1380)], [np.int64(1730), np.int64(4340), np.int64(5310), np.int64(620)], [np.int64(2490), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(180)]]"
45,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
46,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
47,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
48,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
49,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
50,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
51,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
52,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
53,"4340: 5, 5310: 2, 3110: 5","[4340, 5310, 3110, 5310, 4340, 3110, 4340, 4340, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(5310), np.int64(2350)], [np.int64(760), np.int64(5310), np.int64(4340), np.int64(1590)], [np.int64(1520), np.int64(4340), np.int64(4340), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
54,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
55,"4340: 9, 3110: 5, 5310: 1","[4340, 3110, 4340, 4340, 3110, 3110, 5310, 4340, 4340, 4340, 4340, 3110, 3110, 4340, 4340]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(3110), np.int64(3110), np.int64(1650)], [np.int64(3660), np.int64(4340), np.int64(4000)], [np.int64(340), np.int64(4340), np.int64(4340), np.int64(70), np.int64(2910)], [200, np.int64(3110), np.int64(4340), np.int64(4340), np.int64(10)]]"
56,"3110: 5, 4340: 5, 5310: 2","[3110, 4340, 3110, 4340, 3110, 5310, 5310, 4340, 4340, 4340, 3110, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(2900), np.int64(3110), np.int64(5310), np.int64(680)], [np.int64(4630), np.int64(4340), np.int64(3030)], [np.int64(1310), np.int64(4340), np.int64(3110), np.int64(3110), np.int64(130)]]"
57,"5310: 2, 3110: 5, 4340: 5","[5310, 3110, 4340, 4340, 3110, 4340, 4340, 5310, 3110, 3110, 4340, 3110]","[[np.int64(5310), np.int64(3110), np.int64(3580)], [np.int64(760), np.int64(4340), np.int64(3110), np.int64(3790)], [np.int64(550), np.int64(4340), np.int64(5310), np.int64(1800)], [np.int64(1310), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(130)]]"
58,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
59,"4340: 9, 5310: 1, 3110: 5","[4340, 5310, 4340, 4340, 4340, 4340, 3110, 3110, 4340, 3110, 3110, 4340, 4340, 3110, 4340]","[[np.int64(4340), np.int64(5310), np.int64(2350)], [np.int64(1990), np.int64(4340), np.int64(4340), np.int64(1330)], [np.int64(3010), np.int64(3110), np.int64(3110), np.int64(2770)], [np.int64(1570), np.int64(3110), np.int64(3110), np.int64(70), np.int64(4140)], [200, np.int64(4340), np.int64(3110), np.int64(4340), np.int64(10)]]"
60,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
61,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
62,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
63,"5310: 1, 3110: 6","[5310, 3110, 3110, 3110, 3110, 3110, 3110]","[[np.int64(5310), np.int64(3110), np.int64(3110), np.int64(470)], [np.int64(2640), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(30)]]"
64,"4340: 5, 5310: 2, 3110: 5","[4340, 5310, 3110, 5310, 4340, 3110, 4340, 4340, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(5310), np.int64(2350)], [np.int64(760), np.int64(5310), np.int64(4340), np.int64(1590)], [np.int64(1520), np.int64(4340), np.int64(4340), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
65,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
66,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
67,"4340: 5, 5310: 2, 3110: 5","[4340, 5310, 3110, 5310, 4340, 3110, 4340, 4340, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(5310), np.int64(2350)], [np.int64(760), np.int64(5310), np.int64(4340), np.int64(1590)], [np.int64(1520), np.int64(4340), np.int64(4340), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
68,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
69,"4340: 8, 3110: 3, 5310: 3","[4340, 4340, 3110, 4340, 4340, 3110, 5310, 4340, 3110, 5310, 4340, 4340, 4340, 5310]","[[np.int64(4340), np.int64(4340), np.int64(3110), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(4340), np.int64(2770)], [np.int64(340), np.int64(5310), np.int64(4340), np.int64(2010)], [np.int64(2330), np.int64(4340), np.int64(5310), np.int64(20)]]"
70,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
71,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
72,"3110: 3, 4340: 4, 5310: 4","[3110, 3110, 4340, 4340, 4340, 4340, 5310, 5310, 3110, 5310, 5310]","[[np.int64(3110), np.int64(3110), np.int64(4340), np.int64(1440)], [np.int64(2900), np.int64(4340), np.int64(4340), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(1310), np.int64(5310), np.int64(5310), np.int64(70)]]"
73,"4340: 9, 3110: 5, 5310: 1","[4340, 3110, 4340, 4340, 3110, 3110, 5310, 4340, 4340, 4340, 4340, 3110, 3110, 4340, 4340]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(3110), np.int64(3110), np.int64(1650)], [np.int64(3660), np.int64(4340), np.int64(4000)], [np.int64(340), np.int64(4340), np.int64(4340), np.int64(70), np.int64(2910)], [200, np.int64(3110), np.int64(4340), np.int64(4340), np.int64(10)]]"
74,"4340: 9, 3110: 5, 5310: 1","[4340, 3110, 4340, 4340, 3110, 3110, 5310, 4340, 4340, 4340, 4340, 3110, 3110, 4340, 4340]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(3110), np.int64(3110), np.int64(1650)], [np.int64(3660), np.int64(4340), np.int64(4000)], [np.int64(340), np.int64(4340), np.int64(4340), np.int64(70), np.int64(2910)], [200, np.int64(3110), np.int64(4340), np.int64(4340), np.int64(10)]]"
75,"5310: 1, 3110: 6","[5310, 3110, 3110, 3110, 3110, 3110, 3110]","[[np.int64(5310), np.int64(3110), np.int64(3110), np.int64(470)], [np.int64(2640), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(30)]]"
76,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
77,"3110: 5, 4340: 5, 5310: 2","[3110, 4340, 3110, 4340, 3110, 5310, 5310, 4340, 4340, 4340, 3110, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(2900), np.int64(3110), np.int64(5310), np.int64(680)], [np.int64(4630), np.int64(4340), np.int64(3030)], [np.int64(1310), np.int64(4340), np.int64(3110), np.int64(3110), np.int64(130)]]"
78,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
79,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
80,"3110: 5, 4340: 9, 5310: 1","[3110, 4340, 4340, 4340, 3110, 4340, 3110, 4340, 3110, 4340, 5310, 4340, 3110, 4340, 4340]","[[np.int64(3110), np.int64(4340), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(3110), np.int64(4340), np.int64(420)], [np.int64(2690), np.int64(4340), np.int64(3110), np.int64(1860)], [np.int64(2480), np.int64(5310), np.int64(70), np.int64(4140)], [200, np.int64(3110), np.int64(4340), np.int64(4340), np.int64(10)]]"
81,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
82,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
83,"3110: 5, 5310: 2, 4340: 5","[3110, 5310, 4340, 3110, 4340, 3110, 4340, 4340, 4340, 3110, 5310, 3110]","[[np.int64(3110), np.int64(5310), np.int64(3580)], [np.int64(760), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(680)], [np.int64(3660), np.int64(4340), np.int64(4000)], [np.int64(340), np.int64(3110), np.int64(5310), np.int64(3110), np.int64(130)]]"
