×éºÏID,¸÷Ä¿±ê²ÄÁÏ¸ùÊı,¸÷Ä¿±ê²ÄÁÏË³Ğò,ÇĞ¸î×é×°³¤¶È
106,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
107,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
108,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
109,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
110,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
111,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
112,"3110: 4, 4340: 10, 5310: 3","[3110, 4340, 5310, 4340, 3110, 5310, 4340, 3110, 3110, 4340, 4340, 4340, 4340, 4340, 5310, 4340, 4340]","[[np.int64(3110), np.int64(4340), np.int64(4550)], [np.int64(760), np.int64(4340), np.int64(3110), np.int64(3790)], [np.int64(1520), np.int64(4340), np.int64(3110), np.int64(120), np.int64(2910)], [200, np.int64(4340), np.int64(4340), np.int64(3120)], [np.int64(1220), np.int64(4340), np.int64(4340), np.int64(2100)], [np.int64(3210), np.int64(4340), np.int64(4340), np.int64(110)]]"
113,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
114,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
115,"3110: 5, 4340: 5, 5310: 2","[3110, 4340, 3110, 4340, 3110, 5310, 5310, 4340, 4340, 4340, 3110, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(2900), np.int64(3110), np.int64(5310), np.int64(680)], [np.int64(4630), np.int64(4340), np.int64(3030)], [np.int64(1310), np.int64(4340), np.int64(3110), np.int64(3110), np.int64(130)]]"
